2015/11/10 8:39:51: 自动发送任务成功,任务号:13559  起止:5212-->0030290221
2015/11/10 8:40:57: 自动发送任务成功,任务号:13567  起止:0040620161-->5144
2015/11/10 8:41:42: 自动发送任务成功,任务号:13565  起止:5212-->0040400191
2015/11/10 8:42:27: 自动发送任务成功,任务号:13574  起止:0040420101-->5144
2015/11/10 8:43:32: 自动发送任务成功,任务号:13580  起止:0030420021-->5144
2015/11/10 8:44:29: 自动发送任务成功,任务号:13581  起止:0030700061-->5144
2015/11/10 8:45:48: 自动发送任务成功,任务号:13590  起止:0040270081-->5144
2015/11/10 8:46:51: 自动发送任务成功,任务号:13594  起止:0030140131-->5144
2015/11/10 8:48:26: 自动发送任务成功,任务号:13600  起止:0040750091-->5144
2015/11/10 8:49:37: 自动发送任务成功,任务号:13572  起止:5212-->0030310221
2015/11/10 8:51:38: 自动发送任务成功,任务号:13625  起止:0040220061-->5144
2015/11/10 8:52:30: 自动发送任务成功,任务号:13626  起止:0030650101-->5144
2015/11/10 8:54:53: 自动发送任务成功,任务号:13633  起止:0030820041-->5144
2015/11/10 8:56:57: 自动发送任务成功,任务号:13637  起止:0040750151-->5144
2015/11/10 8:58:46: 自动发送任务成功,任务号:13640  起止:0040320151-->5144
2015/11/10 9:01:17: 自动发送任务成功,任务号:13647  起止:0030750141-->5144
2015/11/10 9:03:09: 自动发送任务成功,任务号:13650  起止:0030190201-->5144
2015/11/10 9:04:12: 自动发送任务成功,任务号:13651  起止:0040610121-->5144
2015/11/10 9:08:07: 自动发送任务成功,任务号:13676  起止:0030660081-->5144
2015/11/10 9:08:52: 自动发送任务成功,任务号:13677  起止:0040350021-->5144
2015/11/10 9:13:22: 自动发送任务成功,任务号:13745  起止:0040710091-->5144
2015/11/10 9:21:20: 自动发送任务成功,任务号:13961  起止:5212-->0030420021
2015/11/10 9:22:30: 自动发送任务成功,任务号:13970  起止:0030840081-->5144
2015/11/10 9:23:45: 自动发送任务成功,任务号:13974  起止:0040630151-->5144
2015/11/10 9:24:39: 自动发送任务成功,任务号:13976  起止:0040110121-->5144
2015/11/10 9:25:48: 自动发送任务成功,任务号:13979  起止:0030700031-->5144
2015/11/10 9:28:13: 自动发送任务成功,任务号:13968  起止:5212-->0040220061
2015/11/10 9:29:09: 自动发送任务成功,任务号:13992  起止:0040840091-->5144
2015/11/10 9:31:11: 自动发送任务成功,任务号:14007  起止:0030860131-->5144
2015/11/10 9:32:44: 自动发送任务成功,任务号:14013  起止:0030520181-->5144
2015/11/10 9:33:36: 自动发送任务成功,任务号:14015  起止:0040680091-->5144
2015/11/10 9:34:18: 自动发送任务成功,任务号:14020  起止:5212-->0030320091
2015/11/10 9:35:26: 自动发送任务成功,任务号:14029  起止:0030910091-->5144
2015/11/10 9:36:16: 自动发送任务成功,任务号:14027  起止:5212-->0040270081
2015/11/10 9:37:21: 自动发送任务成功,任务号:14091  起止:0040160101-->5144
2015/11/10 9:38:33: 自动发送任务成功,任务号:14038  起止:5212-->0040110121
2015/11/10 9:38:33: 自动发送任务成功,任务号:14038  起止:5212-->0040110121
2015/11/10 9:38:34: 自动发送任务成功,任务号:14038  起止:5212-->0040110121
2015/11/10 9:38:35: 自动发送任务成功,任务号:14038  起止:5212-->0040110121
2015/11/10 9:38:36: 自动发送任务成功,任务号:14038  起止:5212-->0040110121
2015/11/10 9:39:46: 自动发送任务成功,任务号:14136  起止:0030900031-->5144
2015/11/10 9:40:40: 自动发送任务成功,任务号:14079  起止:5212-->0030520181
2015/11/10 9:41:51: 自动发送任务成功,任务号:14208  起止:0040640161-->5144
2015/11/10 9:42:37: 自动发送任务成功,任务号:14139  起止:5212-->0040160101
2015/11/10 9:54:18: 自动发送任务成功,任务号:14293  起止:0030860101-->5144
2015/11/10 9:55:32: 自动发送任务成功,任务号:14189  起止:5212-->0040430191
2015/11/10 9:56:25: 自动发送任务成功,任务号:14510  起止:0040320041-->5144
2015/11/10 9:57:33: 自动发送任务成功,任务号:14235  起止:5212-->0030320221
2015/11/10 9:58:22: 自动发送任务成功,任务号:14592  起止:0030560041-->5144
2015/11/10 9:59:28: 自动发送任务成功,任务号:14541  起止:5212-->0040450191
2015/11/10 10:00:18: 自动发送任务成功,任务号:14585  起止:5212-->0040320041
2015/11/10 10:01:30: 自动发送任务成功,任务号:14631  起止:5212-->0040480191
2015/11/10 10:02:24: 自动发送任务成功,任务号:14654  起止:0030850061-->5144
2015/11/10 10:03:09: 自动发送任务成功,任务号:14650  起止:5212-->0030090011
2015/11/10 10:03:09: 自动发送任务成功,任务号:14688  起止:0040530021-->5144
2015/11/10 10:04:16: 自动发送任务成功,任务号:14719  起止:0040900031-->5144
2015/11/10 10:05:25: 自动发送任务成功,任务号:14678  起止:5212-->0030340221
2015/11/10 10:06:18: 自动发送任务成功,任务号:14708  起止:5212-->0030360221
2015/11/10 10:07:13: 自动发送任务成功,任务号:14768  起止:5212-->0030380221
2015/11/10 10:08:07: 自动发送任务成功,任务号:14788  起止:5212-->0030400221
2015/11/10 10:09:00: 自动发送任务成功,任务号:14803  起止:5212-->0030420221
2015/11/10 10:09:54: 自动发送任务成功,任务号:14822  起止:5212-->0030440221
2015/11/10 10:10:49: 自动发送任务成功,任务号:14760  起止:0030760021-->5144
2015/11/10 10:11:58: 自动发送任务成功,任务号:14834  起止:5212-->0040530021
2015/11/10 10:12:00: 自动发送任务成功,任务号:14834  起止:5212-->0040530021
2015/11/10 10:12:01: 自动发送任务成功,任务号:14834  起止:5212-->0040530021
2015/11/10 10:13:03: 自动发送任务成功,任务号:14857  起止:5212-->0030460221
2015/11/10 10:13:57: 自动发送任务成功,任务号:14915  起止:0040010131-->5144
2015/11/10 10:14:57: 自动发送任务成功,任务号:14898  起止:5212-->0030290011
2015/11/10 10:16:04: 自动发送任务成功,任务号:14940  起止:0040890141-->5144
2015/11/10 10:16:49: 自动发送任务成功,任务号:14995  起止:0030040201-->5144
2015/11/10 10:16:49: 自动发送任务成功,任务号:14919  起止:5212-->0040510191
2015/11/10 10:17:56: 自动发送任务成功,任务号:14919  起止:5212-->0040510191
2015/11/10 10:18:45: 自动发送任务成功,任务号:15034  起止:0040610041-->5144
2015/11/10 10:19:48: 自动发送任务成功,任务号:14966  起止:5212-->0040010131
2015/11/10 10:21:01: 自动发送任务成功,任务号:15090  起止:0030240121-->5144
2015/11/10 10:22:13: 自动发送任务成功,任务号:15042  起止:5212-->0030040201
2015/11/10 10:23:25: 自动发送任务成功,任务号:15140  起止:0040890151-->5144
2015/11/10 10:24:38: 自动发送任务成功,任务号:15091  起止:5212-->0040540191
2015/11/10 10:24:39: 自动发送任务成功,任务号:15178  起止:0040050041-->5144
2015/11/10 10:25:21: 自动发送任务成功,任务号:15178  起止:0040050041-->5144
2015/11/10 10:26:46: 自动发送任务成功,任务号:15151  起止:5212-->0030240121
2015/11/10 10:27:54: 自动发送任务成功,任务号:15262  起止:0030510081-->5144
2015/11/10 10:28:59: 自动发送任务成功,任务号:15215  起止:5212-->0030510221
2015/11/10 10:29:44: 自动发送任务成功,任务号:15269  起止:0030760081-->5144
2015/11/10 10:31:54: 自动发送任务成功,任务号:15273  起止:0030450221-->5144
2015/11/10 10:32:51: 自动发送任务成功,任务号:15277  起止:0040890091-->5144
2015/11/10 10:33:37: 自动发送任务成功,任务号:15279  起止:0040080181-->5144
2015/11/10 10:34:49: 自动发送任务成功,任务号:15281  起止:0030810031-->5144
2015/11/10 10:36:09: 自动发送任务成功,任务号:15287  起止:0040630141-->5144
2015/11/10 10:38:19: 自动发送任务成功,任务号:15291  起止:0030020121-->5144
2015/11/10 10:39:30: 自动发送任务成功,任务号:15292  起止:0030770031-->5144
2015/11/10 10:40:22: 自动发送任务成功,任务号:15295  起止:0040230101-->5144
2015/11/10 10:41:26: 自动发送任务成功,任务号:15300  起止:0040680141-->5144
2015/11/10 10:43:51: 自动发送任务成功,任务号:15307  起止:0030470201-->5144
2015/11/10 10:44:48: 自动发送任务成功,任务号:15308  起止:0030910071-->5144
2015/11/10 10:49:07: 自动发送任务成功,任务号:15313  起止:0040790141-->5144
2015/11/10 10:49:57: 自动发送任务成功,任务号:15314  起止:0040370041-->5144
2015/11/10 10:51:03: 自动发送任务成功,任务号:15318  起止:0040180101-->5144
2015/11/10 10:52:24: 自动发送任务成功,任务号:15322  起止:0030610151-->5144
2015/11/10 10:53:16: 自动发送任务成功,任务号:15324  起止:0030510221-->5144
2015/11/10 10:54:10: 自动发送任务成功,任务号:15330  起止:0040800151-->5144
2015/11/10 10:56:22: 自动发送任务成功,任务号:15335  起止:0030320111-->5144
2015/11/10 10:57:19: 自动发送任务成功,任务号:15336  起止:0030830131-->5144
2015/11/10 10:58:11: 自动发送任务成功,任务号:15341  起止:0040350131-->5144
2015/11/10 10:59:08: 自动发送任务成功,任务号:15342  起止:0040810121-->5144
2015/11/10 11:01:59: 自动发送任务成功,任务号:15350  起止:0030460081-->5144
2015/11/10 11:02:51: 自动发送任务成功,任务号:15352  起止:0030900131-->5144
2015/11/10 11:03:37: 自动发送任务成功,任务号:15355  起止:0040520131-->5144
2015/11/10 11:04:30: 自动发送任务成功,任务号:15357  起止:0040900101-->5144
2015/11/10 11:05:34: 自动发送任务成功,任务号:15361  起止:0030430211-->5144
2015/11/10 11:09:20: 自动发送任务成功,任务号:15369  起止:0030660041-->5144
2015/11/10 11:10:12: 自动发送任务成功,任务号:15371  起止:0040340021-->5144
2015/11/10 11:11:08: 自动发送任务成功,任务号:15376  起止:5212-->0030660011
2015/11/10 11:12:10: 自动发送任务成功,任务号:15392  起止:0030280131-->5144
2015/11/10 11:13:24: 自动发送任务成功,任务号:15383  起止:5212-->0040620011
2015/11/10 11:14:25: 自动发送任务成功,任务号:15398  起止:5212-->0040680011
2015/11/10 11:15:28: 自动发送任务成功,任务号:15482  起止:0040530191-->5144
2015/11/10 11:16:32: 自动发送任务成功,任务号:15451  起止:5212-->0030760021
2015/11/10 11:17:33: 自动发送任务成功,任务号:15524  起止:0040620011-->5144
2015/11/10 11:18:18: 自动发送任务成功,任务号:15474  起止:5212-->0040910011
2015/11/10 11:19:13: 自动发送任务成功,任务号:15570  起止:0030800011-->5144
2015/11/10 11:19:58: 自动发送任务成功,任务号:15529  起止:5212-->0030850021
2015/11/10 11:21:01: 自动发送任务成功,任务号:15583  起止:0030470101-->5144
2015/11/10 11:21:50: 自动发送任务成功,任务号:15567  起止:5212-->0040620011
2015/11/10 11:22:49: 自动发送任务成功,任务号:15648  起止:0040040111-->5144
2015/11/10 11:23:50: 自动发送任务成功,任务号:15607  起止:5212-->0030800011
2015/11/10 11:24:48: 自动发送任务成功,任务号:15704  起止:0030450091-->5144
2015/11/10 11:25:58: 自动发送任务成功,任务号:15651  起止:5212-->0030810031
2015/11/10 11:27:01: 自动发送任务成功,任务号:15762  起止:0030820021-->5144
2015/11/10 11:28:05: 自动发送任务成功,任务号:15702  起止:5212-->0030660041
2015/11/10 11:29:07: 自动发送任务成功,任务号:15795  起止:0030410091-->5144
2015/11/10 11:30:15: 自动发送任务成功,任务号:15758  起止:5212-->0040900021
2015/11/10 11:31:13: 自动发送任务成功,任务号:15841  起止:0030840071-->5144
2015/11/10 11:31:55: 自动发送任务成功,任务号:15814  起止:5212-->0040670031
2015/11/10 11:32:53: 自动发送任务成功,任务号:15903  起止:0040900021-->5144
2015/11/10 11:34:14: 自动发送任务成功,任务号:15873  起止:5212-->0040620011
2015/11/10 11:35:16: 自动发送任务成功,任务号:15974  起止:0030110201-->5144
2015/11/10 11:36:33: 自动发送任务成功,任务号:15910  起止:5212-->0040860041
2015/11/10 11:37:31: 自动发送任务成功,任务号:15971  起止:5212-->0040900021
2015/11/10 11:38:34: 自动发送任务成功,任务号:16020  起止:5212-->0030630021
2015/11/10 11:39:37: 自动发送任务成功,任务号:16047  起止:5212-->0030720051
2015/11/10 11:40:40: 自动发送任务成功,任务号:16069  起止:5212-->0030700061
2015/11/10 11:43:59: 自动发送任务成功,任务号:16085  起止:5212-->0030840071
2015/11/10 11:45:01: 自动发送任务成功,任务号:16090  起止:5212-->0040630071
2015/11/10 11:46:04: 自动发送任务成功,任务号:16015  起止:0030800101-->5144
2015/11/10 11:47:08: 自动发送任务成功,任务号:16095  起止:5212-->0030910071
2015/11/10 11:48:10: 自动发送任务成功,任务号:16078  起止:0040670031-->5144
2015/11/10 11:49:30: 自动发送任务成功,任务号:16112  起止:5212-->0030660081
2015/11/10 11:50:34: 自动发送任务成功,任务号:16162  起止:0030080201-->5144
2015/11/10 11:51:53: 自动发送任务成功,任务号:16157  起止:5212-->0030760081
2015/11/10 11:52:51: 自动发送任务成功,任务号:16199  起止:0040740131-->5144
2015/11/10 13:00:20: 自动发送任务成功,任务号:16213  起止:0030770031-->5144
2015/11/10 13:02:05: 自动发送任务成功,任务号:16216  起止:0040370091-->5144
2015/11/10 13:03:02: 自动发送任务成功,任务号:16225  起止:0040740141-->5144
2015/11/10 13:03:47: 自动发送任务成功,任务号:16221  起止:5212-->0030770031
2015/11/10 13:04:49: 自动发送任务成功,任务号:16240  起止:0030230221-->5144
2015/11/10 13:05:45: 自动发送任务成功,任务号:16229  起止:5212-->0040740021
2015/11/10 13:06:46: 自动发送任务成功,任务号:16274  起止:0040350021-->5144
2015/11/10 13:07:37: 自动发送任务成功,任务号:16241  起止:5212-->0040630081
2015/11/10 13:08:43: 自动发送任务成功,任务号:16353  起止:0030100201-->5144
2015/11/10 13:09:44: 自动发送任务成功,任务号:16291  起止:5212-->0030840081
2015/11/10 13:10:50: 自动发送任务成功,任务号:16361  起止:0030770031-->5144
2015/11/10 13:11:33: 自动发送任务成功,任务号:16357  起止:5212-->0040780081
2015/11/10 13:12:38: 自动发送任务成功,任务号:16392  起止:5212-->0030710091
2015/11/10 13:13:23: 自动发送任务成功,任务号:16448  起止:0040350011-->5144
2015/11/10 13:14:35: 自动发送任务成功,任务号:16434  起止:5212-->0030770031
2015/11/10 13:15:30: 自动发送任务成功,任务号:16489  起止:0030880071-->5144
2015/11/10 13:16:54: 自动发送任务成功,任务号:16456  起止:5212-->0040710091
2015/11/10 13:17:52: 自动发送任务成功,任务号:16567  起止:0040250091-->5144
2015/11/10 13:19:04: 自动发送任务成功,任务号:16510  起止:5212-->0030860091
2015/11/10 13:19:59: 自动发送任务成功,任务号:16607  起止:0030560211-->5144
2015/11/10 13:20:00: 自动发送任务成功,任务号:16607  起止:0030560211-->5144
2015/11/10 13:20:01: 自动发送任务成功,任务号:16607  起止:0030560211-->5144
2015/11/10 13:21:08: 自动发送任务成功,任务号:16568  起止:5212-->0030880071
2015/11/10 13:22:13: 自动发送任务成功,任务号:16673  起止:0040810071-->5144
2015/11/10 13:23:36: 自动发送任务成功,任务号:16621  起止:5212-->0040740021
2015/11/10 13:24:37: 自动发送任务成功,任务号:16677  起止:5212-->0030770031
2015/11/10 13:25:41: 自动发送任务成功,任务号:16737  起止:5212-->0030640101
2015/11/10 13:26:44: 自动发送任务成功,任务号:16756  起止:5212-->0040810071
2015/11/10 13:27:47: 自动发送任务成功,任务号:16784  起止:5212-->0040840091
2015/11/10 13:28:50: 自动发送任务成功,任务号:16800  起止:5212-->0030710101
2015/11/10 13:29:53: 自动发送任务成功,任务号:16807  起止:5212-->0040890091
2015/11/10 13:30:56: 自动发送任务成功,任务号:16814  起止:5212-->0030780101
2015/11/10 13:32:04: 自动发送任务成功,任务号:16821  起止:5212-->0040630101
2015/11/10 13:33:10: 自动发送任务成功,任务号:16827  起止:5212-->0030800101
2015/11/10 13:34:13: 自动发送任务成功,任务号:16833  起止:5212-->0040710101
2015/11/10 13:35:17: 自动发送任务成功,任务号:16848  起止:5212-->0040790101
2015/11/10 13:36:20: 自动发送任务成功,任务号:16868  起止:5212-->0040830101
2015/11/10 13:37:23: 自动发送任务成功,任务号:16875  起止:5212-->0030860101
2015/11/10 13:38:08: 自动发送任务成功,任务号:16893  起止:5212-->0040900101
2015/11/10 13:38:53: 自动发送任务成功,任务号:16911  起止:5212-->0030910101
2015/11/10 13:39:56: 自动发送任务成功,任务号:16918  起止:5212-->0040620111
2015/11/10 13:40:59: 自动发送任务成功,任务号:16923  起止:5212-->0030740131
2015/11/10 13:42:02: 自动发送任务成功,任务号:16941  起止:5212-->0040800111
2015/11/10 13:43:05: 自动发送任务成功,任务号:16959  起止:5212-->0030860131
2015/11/10 13:44:08: 自动发送任务成功,任务号:16966  起止:5212-->0040610121
2015/11/10 13:45:10: 自动发送任务成功,任务号:16978  起止:5212-->0030750141
2015/11/10 13:46:14: 自动发送任务成功,任务号:16999  起止:5212-->0030910141
2015/11/10 13:47:17: 自动发送任务成功,任务号:17006  起止:5212-->0040740131
2015/11/10 13:48:20: 自动发送任务成功,任务号:17021  起止:5212-->0040680141
2015/11/10 13:48:21: 自动发送任务成功,任务号:17021  起止:5212-->0040680141
2015/11/10 13:48:22: 自动发送任务成功,任务号:17021  起止:5212-->0040680141
2015/11/10 13:49:26: 自动发送任务成功,任务号:17043  起止:5212-->0040790141
2015/11/10 13:50:26: 自动发送任务成功,任务号:17049  起止:5212-->0030630151
2015/11/10 13:51:11: 自动发送任务成功,任务号:17079  起止:0030850051-->5144
2015/11/10 13:51:56: 自动发送任务成功,任务号:17070  起止:5212-->0030670151
2015/11/10 13:52:58: 自动发送任务成功,任务号:17087  起止:0030180021-->5144
2015/11/10 13:53:54: 自动发送任务成功,任务号:17085  起止:5212-->0040890141
2015/11/10 13:54:56: 自动发送任务成功,任务号:17125  起止:0030090161-->5144
2015/11/10 13:55:55: 自动发送任务成功,任务号:17110  起止:5212-->0040690151
2015/11/10 13:56:53: 自动发送任务成功,任务号:17183  起止:0040610141-->5144
2015/11/10 13:57:35: 自动发送任务成功,任务号:17159  起止:5212-->0040790151
2015/11/10 13:58:15: 自动发送任务成功,任务号:17207  起止:5212-->0040890151
2015/11/10 13:59:18: 自动发送任务成功,任务号:17239  起止:5212-->0030850051
2015/11/10 14:00:20: 自动发送任务成功,任务号:17247  起止:5212-->0030740151
2015/11/10 14:01:05: 自动发送任务成功,任务号:17268  起止:5212-->0030770151
2015/11/10 14:01:50: 自动发送任务成功,任务号:17283  起止:5212-->0030790151
2015/11/10 14:02:35: 自动发送任务成功,任务号:17295  起止:5212-->0040610141
2015/11/10 14:03:38: 自动发送任务成功,任务号:17310  起止:5212-->0040660161
2015/11/10 14:04:23: 自动发送任务成功,任务号:17319  起止:5212-->0040680161
2015/11/10 14:04:24: 自动发送任务成功,任务号:17319  起止:5212-->0040680161
2015/11/10 14:05:08: 自动发送任务成功,任务号:17342  起止:5212-->0030810151
2015/11/10 14:05:53: 自动发送任务成功,任务号:17351  起止:5212-->0030830151
2015/11/10 14:06:38: 自动发送任务成功,任务号:17363  起止:5212-->0040700161
2015/11/10 14:07:23: 自动发送任务成功,任务号:17373  起止:5212-->0040720161
2015/11/10 14:08:08: 自动发送任务成功,任务号:17387  起止:5212-->0040740161
2015/11/10 14:08:53: 自动发送任务成功,任务号:17400  起止:5212-->0030850151
2015/11/10 14:09:38: 自动发送任务成功,任务号:17411  起止:5212-->0040760161
2015/11/10 14:10:23: 自动发送任务成功,任务号:17435  起止:0040070161-->5144
2015/11/10 14:11:27: 自动发送任务成功,任务号:17420  起止:5212-->0040780161
2015/11/10 14:12:11: 自动发送任务成功,任务号:17430  起止:5212-->0040800161
2015/11/10 14:12:56: 自动发送任务成功,任务号:17474  起止:5212-->0030870151
2015/11/10 14:13:41: 自动发送任务成功,任务号:17489  起止:5212-->0030890151
2015/11/10 14:14:26: 自动发送任务成功,任务号:17504  起止:5212-->0030910151
2015/11/10 14:15:29: 自动发送任务成功,任务号:17531  起止:0030070081-->5144
2015/11/10 14:16:27: 自动发送任务成功,任务号:17515  起止:5212-->0040820161
2015/11/10 14:17:08: 自动发送任务成功,任务号:17570  起止:0040410181-->5144
2015/11/10 14:18:00: 自动发送任务成功,任务号:17524  起止:5212-->0040840161
2015/11/10 14:18:47: 自动发送任务成功,任务号:17571  起止:5212-->0030620161
2015/11/10 14:19:32: 自动发送任务成功,任务号:17605  起止:5212-->0030640161
2015/11/10 14:20:17: 自动发送任务成功,任务号:17618  起止:5212-->0040860161
2015/11/10 14:21:09: 自动发送任务成功,任务号:17635  起止:5212-->0030660161
2015/11/10 14:21:56: 自动发送任务成功,任务号:17644  起止:0030380221-->5144
2015/11/10 14:22:48: 自动发送任务成功,任务号:17642  起止:5212-->0040880161
2015/11/10 14:23:28: 自动发送任务成功,任务号:17648  起止:5212-->0030680161
2015/11/10 14:24:11: 自动发送任务成功,任务号:17684  起止:5212-->0030700161
2015/11/10 14:24:56: 自动发送任务成功,任务号:17692  起止:5212-->0030720161
