2015/11/5 11:22:51: 自动发送任务成功,任务号:31893  起止:5211-->0020040011
2015/11/5 11:23:59: 自动发送任务成功,任务号:31897  起止:5211-->0010090011
2015/11/5 11:25:36: 自动发送任务成功,任务号:31946  起止:0020060141-->5145
2015/11/5 11:26:57: 自动发送任务成功,任务号:31902  起止:5211-->0020170021
2015/11/5 11:28:10: 自动发送任务成功,任务号:31947  起止:5211-->0010060041
2015/11/5 11:29:40: 自动发送任务成功,任务号:32061  起止:0010620141-->5145
2015/11/5 11:30:40: 自动发送任务成功,任务号:32007  起止:5211-->0020410021
2015/11/5 11:31:55: 自动发送任务成功,任务号:32065  起止:5211-->0010350041
2015/11/5 11:33:25: 自动发送任务成功,任务号:32078  起止:0020410041-->5145
2015/11/5 11:34:24: 自动发送任务成功,任务号:32074  起止:5211-->0020010031
2015/11/5 11:35:40: 自动发送任务成功,任务号:32080  起止:0010720081-->5145
2015/11/5 11:36:47: 自动发送任务成功,任务号:32086  起止:0010630061-->5145
2015/11/5 11:37:46: 自动发送任务成功,任务号:32089  起止:0010220111-->5145
2015/11/5 11:38:57: 自动发送任务成功,任务号:32091  起止:0020550031-->5145
2015/11/5 11:42:11: 自动发送任务成功,任务号:32098  起止:0010660021-->5145
2015/11/5 11:44:38: 自动发送任务成功,任务号:32103  起止:0010840141-->5145
2015/11/5 11:45:33: 自动发送任务成功,任务号:32106  起止:0010040111-->5145
2015/11/5 11:46:55: 自动发送任务成功,任务号:32109  起止:0010810141-->5145
2015/11/5 11:48:45: 自动发送任务成功,任务号:32115  起止:0020530031-->5145
2015/11/5 11:49:49: 自动发送任务成功,任务号:32119  起止:0010910271-->5145
2015/11/5 11:52:03: 自动发送任务成功,任务号:32122  起止:0010550131-->5145
2015/11/5 11:53:31: 自动发送任务成功,任务号:32124  起止:0010820081-->5145
2015/11/5 13:05:22: 自动发送任务成功,任务号:32131  起止:0010720011-->5145
2015/11/5 13:06:20: 自动发送任务成功,任务号:32134  起止:0020080041-->5145
2015/11/5 13:08:35: 自动发送任务成功,任务号:32137  起止:0010750021-->5145
2015/11/5 13:09:35: 自动发送任务成功,任务号:32141  起止:0010250051-->5145
2015/11/5 13:10:47: 自动发送任务成功,任务号:32143  起止:0010620061-->5145
2015/11/5 13:12:11: 自动发送任务成功,任务号:32151  起止:0010700121-->5145
2015/11/5 13:14:08: 自动发送任务成功,任务号:32155  起止:0010880221-->5145
2015/11/5 13:15:16: 自动发送任务成功,任务号:32158  起止:0010160041-->5145
2015/11/5 13:16:32: 自动发送任务成功,任务号:32161  起止:0010790051-->5145
2015/11/5 13:26:27: 自动发送任务成功,任务号:32189  起止:0020270121-->5145
2015/11/5 13:29:00: 自动发送任务成功,任务号:32196  起止:0010530021-->5145
2015/11/5 13:38:32: 自动发送任务成功,任务号:32218  起止:0020080031-->5145
2015/11/5 13:40:55: 自动发送任务成功,任务号:32225  起止:0010570011-->5145
2015/11/5 13:42:22: 自动发送任务成功,任务号:32228  起止:0020480031-->5145
2015/11/5 13:43:43: 自动发送任务成功,任务号:32232  起止:0010450041-->5145
2015/11/5 13:48:01: 自动发送任务成功,任务号:32243  起止:0020410011-->5145
2015/11/5 13:50:35: 自动发送任务成功,任务号:32246  起止:0010170041-->5145
2015/11/5 13:57:33: 自动发送任务成功,任务号:32263  起止:0020590011-->5145
2015/11/5 14:06:32: 自动发送任务成功,任务号:32289  起止:0010590111-->5145
