2015/11/10 10:25:03: 自动发送任务成功,任务号:15154  起止:0010690091-->5145
2015/11/10 10:26:24: 自动发送任务成功,任务号:15124  起止:5211-->0020130021
2015/11/10 10:26:24: 自动发送任务成功,任务号:15247  起止:0020820071-->5145
2015/11/10 10:27:45: 自动发送任务成功,任务号:15247  起止:0020820071-->5145
2015/11/10 10:29:08: 自动发送任务成功,任务号:15190  起止:5211-->0020360161
2015/11/10 10:30:00: 自动发送任务成功,任务号:15266  起止:0020300101-->5145
2015/11/10 10:31:27: 自动发送任务成功,任务号:15258  起止:5211-->0020380161
2015/11/10 10:32:24: 自动发送任务成功,任务号:15272  起止:0010160041-->5145
2015/11/10 10:33:54: 自动发送任务成功,任务号:15276  起止:0020600101-->5145
2015/11/10 10:35:15: 自动发送任务成功,任务号:15283  起止:0010340081-->5145
2015/11/10 10:36:49: 自动发送任务成功,任务号:15286  起止:0020860041-->5145
2015/11/10 10:37:56: 自动发送任务成功,任务号:15290  起止:0010620091-->5145
2015/11/10 10:40:04: 自动发送任务成功,任务号:15294  起止:0020180151-->5145
2015/11/10 10:41:20: 自动发送任务成功,任务号:15298  起止:0020750091-->5145
2015/11/10 10:42:44: 自动发送任务成功,任务号:15303  起止:0010500101-->5145
2015/11/10 10:43:50: 自动发送任务成功,任务号:15305  起止:0010690021-->5145
2015/11/10 10:47:15: 自动发送任务成功,任务号:15310  起止:0020460141-->5145
2015/11/10 10:48:19: 自动发送任务成功,任务号:15312  起止:0020660091-->5145
2015/11/10 10:50:07: 自动发送任务成功,任务号:15317  起止:0010080111-->5145
2015/11/10 10:52:06: 自动发送任务成功,任务号:15320  起止:0010700031-->5145
2015/11/10 10:53:06: 自动发送任务成功,任务号:15327  起止:0020100131-->5145
2015/11/10 10:54:47: 自动发送任务成功,任务号:15328  起止:0020900031-->5145
2015/11/10 10:55:31: 自动发送任务成功,任务号:15333  起止:0010040131-->5145
2015/11/10 10:56:52: 自动发送任务成功,任务号:15334  起止:0010610031-->5145
2015/11/10 10:57:59: 自动发送任务成功,任务号:15339  起止:0020650041-->5145
2015/11/10 10:58:58: 自动发送任务成功,任务号:15340  起止:0020190131-->5145
2015/11/10 11:01:26: 自动发送任务成功,任务号:15347  起止:0010260041-->5145
2015/11/10 11:02:37: 自动发送任务成功,任务号:15348  起止:0010760101-->5145
2015/11/10 11:03:36: 自动发送任务成功,任务号:15354  起止:0020390181-->5145
2015/11/10 11:04:40: 自动发送任务成功,任务号:15356  起止:0020790051-->5145
2015/11/10 11:05:35: 自动发送任务成功,任务号:15359  起止:0010230191-->5145
2015/11/10 11:06:47: 自动发送任务成功,任务号:15363  起止:0010890091-->5145
2015/11/10 11:07:43: 自动发送任务成功,任务号:15366  起止:0020070011-->5145
2015/11/10 11:09:47: 自动发送任务成功,任务号:15373  起止:0020810061-->5145
2015/11/10 11:10:38: 自动发送任务成功,任务号:15374  起止:5211-->0010680011
2015/11/10 11:11:24: 自动发送任务成功,任务号:15391  起止:0010250181-->5145
2015/11/10 11:12:51: 自动发送任务成功,任务号:15381  起止:5211-->0020640011
2015/11/10 11:13:57: 自动发送任务成功,任务号:15434  起止:0020460121-->5145
2015/11/10 11:15:17: 自动发送任务成功,任务号:15389  起止:5211-->0010840011
2015/11/10 11:16:22: 自动发送任务成功,任务号:15493  起止:0020640011-->5145
2015/11/10 11:17:14: 自动发送任务成功,任务号:15442  起止:5211-->0010690021
2015/11/10 11:18:01: 自动发送任务成功,任务号:15514  起止:0010290211-->5145
2015/11/10 11:19:06: 自动发送任务成功,任务号:15494  起止:5211-->0010690011
2015/11/10 11:20:15: 自动发送任务成功,任务号:15568  起止:0010710011-->5145
2015/11/10 11:21:01: 自动发送任务成功,任务号:15545  起止:5211-->0020640011
2015/11/10 11:22:13: 自动发送任务成功,任务号:15645  起止:0020150181-->5145
2015/11/10 11:23:20: 自动发送任务成功,任务号:15586  起止:5211-->0010810021
2015/11/10 11:24:28: 自动发送任务成功,任务号:15672  起止:0010580011-->5145
2015/11/10 11:25:37: 自动发送任务成功,任务号:15634  起止:5211-->0010710011
2015/11/10 11:26:43: 自动发送任务成功,任务号:15733  起止:0010700021-->5145
2015/11/10 11:28:05: 自动发送任务成功,任务号:15690  起止:5211-->0020820011
2015/11/10 11:28:05: 自动发送任务成功,任务号:15792  起止:0010440101-->5145
2015/11/10 11:29:15: 自动发送任务成功,任务号:15792  起止:0010440101-->5145
2015/11/10 11:30:42: 自动发送任务成功,任务号:15750  起止:5211-->0010890031
2015/11/10 11:31:49: 自动发送任务成功,任务号:15875  起止:0020390021-->5145
2015/11/10 11:33:13: 自动发送任务成功,任务号:15818  起止:5211-->0010700021
2015/11/10 11:43:30: 自动发送任务成功,任务号:15878  起止:0020620021-->5145
2015/11/10 11:44:22: 自动发送任务成功,任务号:15881  起止:5211-->0020640011
2015/11/10 11:45:28: 自动发送任务成功,任务号:16099  起止:0010610051-->5145
2015/11/10 11:46:16: 自动发送任务成功,任务号:16082  起止:5211-->0010780021
2015/11/10 11:47:25: 自动发送任务成功,任务号:16100  起止:5211-->0020620021
2015/11/10 11:48:46: 自动发送任务成功,任务号:16137  起止:5211-->0010610051
2015/11/10 11:50:06: 自动发送任务成功,任务号:16184  起止:0020750041-->5145
2015/11/10 11:50:58: 自动发送任务成功,任务号:16164  起止:5211-->0020890021
2015/11/10 11:52:04: 自动发送任务成功,任务号:16209  起止:0010660091-->5145
2015/11/10 11:52:50: 自动发送任务成功,任务号:16197  起止:5211-->0020810031
2015/11/10 13:00:43: 自动发送任务成功,任务号:16214  起止:0020160151-->5145
2015/11/10 13:02:54: 自动发送任务成功,任务号:16223  起止:0020870071-->5145
2015/11/10 13:03:38: 自动发送任务成功,任务号:16219  起止:5211-->0010620061
2015/11/10 13:04:49: 自动发送任务成功,任务号:16234  起止:0010590191-->5145
2015/11/10 13:05:39: 自动发送任务成功,任务号:16227  起止:5211-->0020890031
2015/11/10 13:06:20: 自动发送任务成功,任务号:16262  起止:0020160081-->5145
2015/11/10 13:07:31: 自动发送任务成功,任务号:16238  起止:5211-->0020620041
2015/11/10 13:08:35: 自动发送任务成功,任务号:16339  起止:0010890031-->5145
2015/11/10 13:10:05: 自动发送任务成功,任务号:16289  起止:5211-->0010800061
2015/11/10 13:11:16: 自动发送任务成功,任务号:16348  起止:0010340071-->5145
2015/11/10 13:12:15: 自动发送任务成功,任务号:16355  起止:5211-->0020750041
2015/11/10 13:13:23: 自动发送任务成功,任务号:16443  起止:0020550101-->5145
2015/11/10 13:14:41: 自动发送任务成功,任务号:16396  起止:5211-->0020860041
2015/11/10 13:15:39: 自动发送任务成功,任务号:16472  起止:0010780061-->5145
2015/11/10 13:17:00: 自动发送任务成功,任务号:16445  起止:5211-->0020790051
2015/11/10 13:18:02: 自动发送任务成功,任务号:16526  起止:0020430111-->5145
2015/11/10 13:19:19: 自动发送任务成功,任务号:16514  起止:5211-->0020810061
2015/11/10 13:20:26: 自动发送任务成功,任务号:16595  起止:0010340091-->5145
2015/11/10 13:21:50: 自动发送任务成功,任务号:16571  起止:5211-->0020650071
2015/11/10 13:22:59: 自动发送任务成功,任务号:16668  起止:0020590061-->5145
2015/11/10 13:24:07: 自动发送任务成功,任务号:16627  起止:5211-->0020780071
2015/11/10 13:24:56: 自动发送任务成功,任务号:16716  起止:0010910021-->5145
2015/11/10 13:25:43: 自动发送任务成功,任务号:16693  起止:5211-->0020800071
2015/11/10 13:26:44: 自动发送任务成功,任务号:16746  起止:5211-->0020650011
2015/11/10 13:27:57: 自动发送任务成功,任务号:16782  起止:5211-->0020870071
2015/11/10 13:29:10: 自动发送任务成功,任务号:16805  起止:5211-->0020630081
2015/11/10 13:30:19: 自动发送任务成功,任务号:16811  起止:5211-->0010910021
2015/11/10 13:31:47: 自动发送任务成功,任务号:16819  起止:5211-->0020810081
2015/11/10 13:33:01: 自动发送任务成功,任务号:16825  起止:5211-->0010780061
