2015/11/6 8:53:29: 自动发送任务成功,任务号:13103  起止:0030240051-->5144
2015/11/6 8:56:26: 自动发送任务成功,任务号:13107  起止:0040370091-->5144
2015/11/6 8:57:20: 自动发送任务成功,任务号:13111  起止:0030120051-->5144
2015/11/6 8:58:28: 自动发送任务成功,任务号:13112  起止:0040350071-->5144
2015/11/6 8:59:23: 自动发送任务成功,任务号:13114  起止:5212-->0040370091
2015/11/6 9:04:32: 自动发送任务成功,任务号:13152  起止:0040810071-->5144
2015/11/6 9:05:44: 自动发送任务成功,任务号:13117  起止:5212-->0030120051
2015/11/6 9:05:52: 自动发送任务成功,任务号:13265  起止:0030290121-->5144
2015/11/6 9:07:15: 自动发送任务成功,任务号:13117  起止:5212-->0030120051
2015/11/6 9:08:25: 自动发送任务成功,任务号:13347  起止:0040390071-->5144
2015/11/6 9:09:12: 自动发送任务成功,任务号:13150  起止:5212-->0030140101
2015/11/6 9:10:22: 自动发送任务成功,任务号:13371  起止:0030750011-->5144
2015/11/6 9:11:13: 自动发送任务成功,任务号:13332  起止:5212-->0040350071
2015/11/6 9:12:21: 自动发送任务成功,任务号:13386  起止:5212-->0040390071
2015/11/6 9:13:40: 自动发送任务成功,任务号:13459  起止:0040680091-->5144
2015/11/6 9:14:45: 自动发送任务成功,任务号:13440  起止:5212-->0040200101
2015/11/6 9:15:37: 自动发送任务成功,任务号:13501  起止:0030400191-->5144
2015/11/6 9:16:43: 自动发送任务成功,任务号:13469  起止:5212-->0040220101
2015/11/6 9:17:52: 自动发送任务成功,任务号:13509  起止:0030670091-->5144
2015/11/6 9:19:05: 自动发送任务成功,任务号:13517  起止:0030270011-->5144
2015/11/6 9:20:08: 自动发送任务成功,任务号:13521  起止:0040910091-->5144
2015/11/6 9:21:23: 自动发送任务成功,任务号:13528  起止:0040120011-->5144
2015/11/6 9:22:28: 自动发送任务成功,任务号:13527  起止:5212-->0040810071
2015/11/6 9:23:26: 自动发送任务成功,任务号:13535  起止:5212-->0030750011
2015/11/6 9:24:28: 自动发送任务成功,任务号:13600  起止:0030300191-->5144
2015/11/6 9:25:42: 自动发送任务成功,任务号:13554  起止:5212-->0030900031
2015/11/6 9:26:43: 自动发送任务成功,任务号:13592  起止:5212-->0030670091
2015/11/6 9:27:47: 自动发送任务成功,任务号:13649  起止:5212-->0030270011
2015/11/6 9:28:58: 自动发送任务成功,任务号:13694  起止:0040270131-->5144
2015/11/6 9:29:50: 自动发送任务成功,任务号:13675  起止:5212-->0030480081
2015/11/6 9:30:56: 自动发送任务成功,任务号:13719  起止:0040900021-->5144
2015/11/6 9:31:48: 自动发送任务成功,任务号:13695  起止:5212-->0030200101
2015/11/6 9:32:44: 自动发送任务成功,任务号:13772  起止:0030810091-->5144
2015/11/6 9:33:52: 自动发送任务成功,任务号:13749  起止:5212-->0040120011
