2015/11/7 8:52:44: 自动发送任务成功,任务号:21654  起止:5211-->0020560041
2015/11/7 8:54:18: 自动发送任务成功,任务号:21659  起止:5211-->0010350011
2015/11/7 8:55:49: 自动发送任务成功,任务号:21671  起止:5211-->0020380071
2015/11/7 8:57:18: 自动发送任务成功,任务号:21699  起止:5211-->0020600081
2015/11/7 8:58:48: 自动发送任务成功,任务号:21735  起止:5211-->0020240091
2015/11/7 9:00:18: 自动发送任务成功,任务号:21763  起止:5211-->0020320091
2015/11/7 9:01:30: 自动发送任务成功,任务号:21794  起止:5211-->0010160041
2015/11/7 9:03:00: 自动发送任务成功,任务号:21825  起止:5211-->0020480091
2015/11/7 9:04:12: 自动发送任务成功,任务号:21841  起止:5211-->0020500091
2015/11/7 9:05:15: 自动发送任务成功,任务号:21868  起止:5211-->0010110081
2015/11/7 9:06:45: 自动发送任务成功,任务号:21883  起止:5211-->0020520091
2015/11/7 9:07:57: 自动发送任务成功,任务号:21907  起止:5211-->0020540091
2015/11/7 9:10:42: 自动发送任务成功,任务号:21942  起止:5211-->0020560091
2015/11/7 9:11:43: 自动发送任务成功,任务号:21949  起止:5211-->0010260091
2015/11/7 10:41:29: 自动发送任务成功,任务号:22034  起止:5211-->0020580091
2015/11/7 10:42:37: 自动发送任务成功,任务号:22041  起止:5211-->0010350091
2015/11/7 10:43:58: 自动发送任务成功,任务号:22047  起止:5211-->0020600091
2015/11/7 10:45:29: 自动发送任务成功,任务号:22053  起止:5211-->0010560091
2015/11/7 10:46:40: 自动发送任务成功,任务号:22059  起止:5211-->0020040101
2015/11/7 10:47:52: 自动发送任务成功,任务号:22073  起止:5211-->0010580091
2015/11/7 10:49:04: 自动发送任务成功,任务号:22088  起止:5211-->0010600091
2015/11/7 10:50:34: 自动发送任务成功,任务号:22119  起止:5211-->0020060101
2015/11/7 10:53:57: 自动发送任务成功,任务号:22137  起止:5211-->0010040101
2015/11/7 10:57:22: 自动发送任务成功,任务号:22141  起止:5211-->0010050101
2015/11/7 11:00:41: 自动发送任务成功,任务号:22148  起止:5211-->0020090101
2015/11/7 11:01:58: 自动发送任务成功,任务号:22154  起止:5211-->0010060101
2015/11/7 11:07:09: 自动发送任务成功,任务号:22232  起止:5211-->0010090101
2015/11/7 11:08:26: 自动发送任务成功,任务号:22236  起止:5211-->0020120101
2015/11/7 11:09:37: 自动发送任务成功,任务号:22246  起止:5211-->0020140101
2015/11/7 11:12:30: 自动发送任务成功,任务号:22273  起止:5211-->0020180101
2015/11/7 11:13:58: 自动发送任务成功,任务号:22306  起止:5211-->0010120101
2015/11/7 11:15:10: 自动发送任务成功,任务号:22324  起止:5211-->0020210101
2015/11/7 11:16:22: 自动发送任务成功,任务号:22359  起止:5211-->0020240101
2015/11/7 11:17:35: 自动发送任务成功,任务号:22392  起止:5211-->0010140101
2015/11/7 11:19:05: 自动发送任务成功,任务号:22423  起止:5211-->0010180101
2015/11/7 11:20:35: 自动发送任务成功,任务号:22456  起止:5211-->0020260101
2015/11/7 11:22:05: 自动发送任务成功,任务号:22497  起止:5211-->0020290101
2015/11/7 11:23:17: 自动发送任务成功,任务号:22540  起止:5211-->0010210101
2015/11/7 11:24:28: 自动发送任务成功,任务号:22570  起止:5211-->0010240101
2015/11/7 11:25:40: 自动发送任务成功,任务号:22574  起止:5211-->0020320101
2015/11/7 11:26:52: 自动发送任务成功,任务号:22594  起止:5211-->0010260101
2015/11/7 11:28:14: 自动发送任务成功,任务号:22624  起止:5211-->0020340101
2015/11/7 11:29:36: 自动发送任务成功,任务号:22652  起止:5211-->0010290101
2015/11/7 11:30:47: 自动发送任务成功,任务号:22676  起止:5211-->0010320101
2015/11/7 11:31:58: 自动发送任务成功,任务号:22709  起止:5211-->0020370101
2015/11/7 11:33:04: 自动发送任务成功,任务号:22742  起止:5211-->0020400101
2015/11/7 11:34:14: 自动发送任务成功,任务号:22770  起止:5211-->0010340101
2015/11/7 11:35:35: 自动发送任务成功,任务号:22795  起止:5211-->0020420101
