2015/11/5 8:46:31: 自动发送任务成功,任务号:27052  起止:0030690041-->5144
2015/11/5 8:47:25: 自动发送任务成功,任务号:27049  起止:5212-->0030560011
2015/11/5 8:48:33: 自动发送任务成功,任务号:27065  起止:0040640201-->5144
2015/11/5 8:49:20: 自动发送任务成功,任务号:27055  起止:5212-->0040560011
2015/11/5 8:50:21: 自动发送任务成功,任务号:27128  起止:0030660081-->5144
2015/11/5 8:51:27: 自动发送任务成功,任务号:27068  起止:5212-->0040600021
2015/11/5 8:52:36: 自动发送任务成功,任务号:27115  起止:5212-->0030210021
2015/11/5 8:53:57: 自动发送任务成功,任务号:27204  起止:0040690021-->5144
2015/11/5 8:54:44: 自动发送任务成功,任务号:27171  起止:5212-->0030450021
2015/11/5 8:55:54: 自动发送任务成功,任务号:27240  起止:0030230191-->5144
2015/11/5 8:57:03: 自动发送任务成功,任务号:27208  起止:5212-->0030430031
2015/11/5 8:58:09: 自动发送任务成功,任务号:27328  起止:0040360041-->5144
2015/11/5 8:58:58: 自动发送任务成功,任务号:27261  起止:5212-->0030070041
2015/11/5 9:00:05: 自动发送任务成功,任务号:27387  起止:0040520031-->5144
2015/11/5 9:01:11: 自动发送任务成功,任务号:27323  起止:5212-->0040510031
2015/11/5 9:02:12: 自动发送任务成功,任务号:27441  起止:0030880251-->5144
2015/11/5 9:02:57: 自动发送任务成功,任务号:27376  起止:5212-->0030420041
2015/11/5 9:04:00: 自动发送任务成功,任务号:27439  起止:5212-->0030580041
2015/11/5 9:05:13: 自动发送任务成功,任务号:27503  起止:5212-->0040520031
2015/11/5 9:06:33: 自动发送任务成功,任务号:27620  起止:0030200041-->5144
2015/11/5 9:07:23: 自动发送任务成功,任务号:27614  起止:5212-->0030240051
2015/11/5 9:08:30: 自动发送任务成功,任务号:27633  起止:5212-->0040480051
2015/11/5 9:09:42: 自动发送任务成功,任务号:27701  起止:5212-->0040030071
2015/11/5 9:11:03: 自动发送任务成功,任务号:27846  起止:0040740021-->5144
2015/11/5 9:11:55: 自动发送任务成功,任务号:27764  起止:5212-->0040490071
2015/11/5 9:13:00: 自动发送任务成功,任务号:27865  起止:0030100011-->5144
2015/11/5 9:13:56: 自动发送任务成功,任务号:27816  起止:5212-->0030200041
2015/11/5 9:15:06: 自动发送任务成功,任务号:28000  起止:0040040021-->5144
2015/11/5 9:16:00: 自动发送任务成功,任务号:27929  起止:5212-->0030380061
2015/11/5 9:16:00: 自动发送任务成功,任务号:27929  起止:5212-->0030380061
2015/11/5 9:17:02: 自动发送任务成功,任务号:28070  起止:0030560201-->5144
2015/11/5 9:17:03: 自动发送任务成功,任务号:28070  起止:0030560201-->5144
2015/11/5 9:17:48: 自动发送任务成功,任务号:28009  起止:5212-->0040570071
2015/11/5 9:19:00: 自动发送任务成功,任务号:28160  起止:0030200031-->5144
2015/11/5 9:20:17: 自动发送任务成功,任务号:28083  起止:5212-->0040040021
2015/11/5 9:21:24: 自动发送任务成功,任务号:28210  起止:0040210031-->5144
2015/11/5 9:22:15: 自动发送任务成功,任务号:28163  起止:5212-->0040310081
