2015/11/29 13:25:34: Break:  连接失败！
2015/11/29 14:24:37: 任务号:82,209; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:1; 深度:0
2015/11/29 14:24:38: 任务号:82,209; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:2; 深度:0
2015/11/29 14:24:40: 任务号:82,209; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:2; 列:2; 列前后:1; 高度:2; 深度:1
2015/11/29 14:24:49: 任务号:82,209; 低位指令代码:137; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:2; 深度:0
2015/11/29 14:24:54: 任务号:82,221; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:2; 深度:0
2015/11/29 14:24:56: 任务号:82,221; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:24:58: 任务号:82,221; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:24:59: 任务号:82,221; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:25:00: 任务号:82,221; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:2; 列:1; 列前后:1; 高度:1; 深度:1
2015/11/29 14:25:02: 任务号:82,221; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:2; 列:1; 列前后:1; 高度:1; 深度:2
2015/11/29 14:25:06: 任务号:82,221; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:2; 列:1; 列前后:1; 高度:1; 深度:1
2015/11/29 14:25:09: 任务号:82,221; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:25:10: 任务号:82,221; 低位指令代码:121; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:25:11: 任务号:82,221; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:25:13: 任务号:82,221; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:1; 深度:0
2015/11/29 14:25:14: 任务号:82,221; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:2; 深度:0
2015/11/29 14:25:16: 任务号:82,221; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:1; 列:2; 列前后:1; 高度:2; 深度:1
2015/11/29 14:25:19: 任务号:82,221; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:1; 列:2; 列前后:1; 高度:2; 深度:2
2015/11/29 14:25:25: 任务号:82,221; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:1; 列:2; 列前后:1; 高度:2; 深度:1
2015/11/29 14:25:26: 任务号:82,221; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:2; 深度:0
2015/11/29 14:25:27: 任务号:82,221; 低位指令代码:137; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:2; 深度:0
2015/11/29 14:30:04: 任务号:82,222; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:2; 深度:0
2015/11/29 14:30:06: 任务号:82,222; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:30:08: 任务号:82,222; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:30:10: 任务号:82,222; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:2; 列:1; 列前后:1; 高度:1; 深度:1
2015/11/29 14:30:12: 任务号:82,222; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:2; 列:1; 列前后:1; 高度:1; 深度:2
2015/11/29 14:30:17: 任务号:82,222; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:2; 列:1; 列前后:1; 高度:1; 深度:1
2015/11/29 14:30:20: 任务号:82,222; 低位指令代码:121; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:30:21: 任务号:82,222; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:30:23: 任务号:82,222; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:1; 深度:0
2015/11/29 14:30:24: 任务号:82,222; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:2; 深度:0
2015/11/29 14:30:26: 任务号:82,222; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:3; 深度:0
2015/11/29 14:30:28: 任务号:82,222; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:2; 列:2; 列前后:1; 高度:3; 深度:1
2015/11/29 14:30:31: 任务号:82,222; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:2; 列:2; 列前后:1; 高度:3; 深度:2
2015/11/29 14:30:38: 任务号:82,222; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:2; 列:2; 列前后:1; 高度:3; 深度:1
2015/11/29 14:30:39: 任务号:82,222; 低位指令代码:137; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:3; 深度:0
2015/11/29 14:32:42: 任务号:82,223; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:3; 深度:0
2015/11/29 14:32:44: 任务号:82,223; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:1; 列前后:1; 高度:2; 深度:0
2015/11/29 14:32:46: 任务号:82,223; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:32:49: 任务号:82,223; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:32:50: 任务号:82,223; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:2; 列:1; 列前后:1; 高度:1; 深度:1
2015/11/29 14:32:52: 任务号:82,223; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:2; 列:1; 列前后:1; 高度:1; 深度:2
2015/11/29 14:32:58: 任务号:82,223; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:2; 列:1; 列前后:1; 高度:1; 深度:1
2015/11/29 14:33:00: 任务号:82,223; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:33:01: 任务号:82,223; 低位指令代码:121; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:7; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:33:02: 任务号:82,223; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:1; 列前后:1; 高度:1; 深度:0
2015/11/29 14:33:04: 任务号:82,223; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:1; 深度:0
2015/11/29 14:33:05: 任务号:82,223; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:2; 深度:0
2015/11/29 14:33:07: 任务号:82,223; 低位指令代码:129; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:3; 深度:0
2015/11/29 14:33:09: 任务号:82,223; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:1; 列:2; 列前后:1; 高度:3; 深度:1
2015/11/29 14:33:11: 任务号:82,223; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:1; 列:2; 列前后:1; 高度:3; 深度:2
2015/11/29 14:33:18: 任务号:82,223; 低位指令代码:130; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:1; 列:2; 列前后:1; 高度:3; 深度:1
2015/11/29 14:33:19: 任务号:82,223; 低位指令代码:137; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:3; 深度:0
2015/11/29 14:40:57: 任务号:82,224; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:3; 深度:0
2015/11/29 14:41:00: 任务号:82,224; 低位指令代码:113; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:2; 深度:0
2015/11/29 14:41:05: 任务号:82,224; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:0; 列:2; 列前后:1; 高度:2; 深度:0
2015/11/29 14:41:06: 任务号:82,224; 低位指令代码:114; 高位指令代码:1; 函数模式:17; 堆垛机模式:1; 动作点:1; 巷道:6; 行:2; 列:2; 列前后:1; 高度:2; 深度:1
